date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:15	28697/28697	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2014:42:13%20GMT	http://pitersmile.com/tech	/Users/dmitribarabanov/websites/a/pitersmile.com/tech	(from http://pitersmile.com/)
17:42:16	37898/37898	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:14%20GMT	http://pitersmile.com/aktsiya-2/	/Users/dmitribarabanov/websites/a/pitersmile.com/aktsiya-2/index.html	(from http://pitersmile.com/)
17:42:17	2900/2900	---M--	200	added ('OK')	image/png	etag:%221d684bb-b54-52ef694647f80%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/icon_garant.png	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/icon_garant.png	(from http://pitersmile.com/)
17:42:19	28706/28706	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2014:42:16%20GMT	http://pitersmile.com/garantiya	/Users/dmitribarabanov/websites/a/pitersmile.com/garantiya	(from http://pitersmile.com/)
17:42:21	26/26	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2014:42:19%20GMT	http://pitersmile.com/lechenie	/Users/dmitribarabanov/websites/a/pitersmile.com/lechenie	(from http://pitersmile.com/)
17:42:23	1666/1666	---M--	200	added ('OK')	image/png	etag:%221d684b9-682-5233bd7326500%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/icon_dental_treatment.png	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/icon_dental_treatment.png	(from http://pitersmile.com/)
17:42:25	51982/51982	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:22%20GMT	http://pitersmile.com/lechenie/	/Users/dmitribarabanov/websites/a/pitersmile.com/lechenie/index.html	(from http://pitersmile.com/)
17:42:25	27/27	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2014:42:23%20GMT	http://pitersmile.com/implantatsiya	/Users/dmitribarabanov/websites/a/pitersmile.com/implantatsiya	(from http://pitersmile.com/)
17:42:27	1459/1459	---M--	200	added ('OK')	image/png	etag:%221d684bc-5b3-5233bd7326500%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/icon_implantation.png	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/icon_implantation.png	(from http://pitersmile.com/)
17:42:29	59365/59365	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:26%20GMT	http://pitersmile.com/implantatsiya/	/Users/dmitribarabanov/websites/a/pitersmile.com/implantatsiya/index.html	(from http://pitersmile.com/)
17:42:29	27/27	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2014:42:27%20GMT	http://pitersmile.com/protezirovanie	/Users/dmitribarabanov/websites/a/pitersmile.com/protezirovanie	(from http://pitersmile.com/)
17:42:32	2482/2482	---M--	200	added ('OK')	image/png	etag:%221d684c2-9b2-5233bd741a740%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/icon_prosthetics.png	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/icon_prosthetics.png	(from http://pitersmile.com/)
17:42:33	66667/66667	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:30%20GMT	http://pitersmile.com/protezirovanie/	/Users/dmitribarabanov/websites/a/pitersmile.com/protezirovanie/index.html	(from http://pitersmile.com/)
17:42:33	27/27	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2014:42:32%20GMT	http://pitersmile.com/ortodontiya	/Users/dmitribarabanov/websites/a/pitersmile.com/ortodontiya	(from http://pitersmile.com/)
17:42:35	1682/1682	---M--	200	added ('OK')	image/png	etag:%221d684be-692-5233bd7326500%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/icon_orthodontics.png	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/icon_orthodontics.png	(from http://pitersmile.com/)
17:42:37	56478/56478	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:34%20GMT	http://pitersmile.com/ortodontiya/	/Users/dmitribarabanov/websites/a/pitersmile.com/ortodontiya/index.html	(from http://pitersmile.com/)
17:42:37	27/27	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2014:42:35%20GMT	http://pitersmile.com/uslugi	/Users/dmitribarabanov/websites/a/pitersmile.com/uslugi	(from http://pitersmile.com/)
17:42:41	2637/2637	---M--	200	added ('OK')	image/jpeg	etag:%221d684da-a4d-5233bd76f6e00%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/partners_splat.jpg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/partners_splat.jpg	(from http://pitersmile.com/)
17:42:43	9091/9091	---M--	200	added ('OK')	image/jpeg	etag:%221d684d9-2383-5233bd76f6e00%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/partners_rocs.jpg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/partners_rocs.jpg	(from http://pitersmile.com/)
17:42:45	3519/3519	---M--	200	added ('OK')	image/jpeg	etag:%221d684d8-dbf-5233bd76f6e00%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/partners_picasso.jpg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/partners_picasso.jpg	(from http://pitersmile.com/)
17:42:47	4423/4423	---M--	200	added ('OK')	image/jpeg	etag:%221d684d5-1147-5233bd7602bc0%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/partners_4.jpg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/partners_4.jpg	(from http://pitersmile.com/)
17:42:49	628641/628641	---M--	200	added ('OK')	image/jpeg	etag:%221445eed-997a1-53a40f8521480%22	http://pitersmile.com/wp-content/uploads/2016/08/stom6.jpg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/uploads/2016/08/stom6.jpg	(from http://pitersmile.com/)
